Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
"Обучение безопасным методам и приемам выполнения строительных работ, в том числе: окрасочных работ, элеNULL",Каталог курсов (СДО),,,,,,,,,,,,,8144,БМиПВ стр 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,12 ИД46В,7 Безопасны,,16 https://portal.smarta.life/~Geair,,
Обучение безопасным методам и приемам выполнения электросварочных и газосварочных работ,Каталог курсов (СДО),,,,,,,,,,,,,7727,NULL БМиПВ эл 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,12 ИД46В,7 Безопасны,,16 https://portal.smarta.life/~r66AM,,
Обучение безопасным методам и приемам при выполнении водолазных работ,Каталог курсов (СДО),,,,,,,,,,,,,8125,NULL БМиП при 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,21 ИД46В,16 Безопасны,,16 https://portal.smarta.life/~YqnkK,,
"Обучение безопасным методам и приемам работ по поиску, идентификации, обезвреживанию и уничтожению",Каталог курсов (СДО),,,,,,,,,,,,,8310,NULL БМиПР по 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,22 ИД46В,17 Безопасны,,16 https://portal.smarta.life/~NksPp,,
Обучение безопасным методам и приёмам выполнения работ при воздействии вредных и (или) опасных произв,Каталог курсов (СДО),,,,,,,,,,,,,10603,NULL Обучение 410,NULL,16,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~QcCqO,,
Обучение безопасным методам и приёмам обращения с животными,Каталог курсов (СДО),,,,,,,,,,,,,8133,NULL БМиП обр 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,20 ИД46В,15 Безопасны,,16 https://portal.smarta.life/~dsaXc,,
"Обучение для работников, выполняющих работы на высоте с применением средств подмащивания",Каталог курсов (СДО),,,,,,,,,,,,,2945,Учебный к Работы на 350,NULL,40,Охрана,труда/Курсы по новому п Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~qOrGb,,
"Обучение должностных лиц гражданской обороны, входящих в составы эвакуационных комиссий организации",Каталог курсов (СДО),,,,,,,,,,,,,4808,NULL NULL 290,NULL,36,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~CaGI0,,
"Обучение лиц, ответственных за безопасную эксплуатацию стеллажного оборудования",Каталог курсов (СДО),,,,,,,,,,,,,3756,Учебный к Безопасна 430,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~wByB3,,
Обучение персонала II группы по электробезопасности,Каталог курсов (СДО),,,,,,,,,,,,,1955,Курс разраNULL 370,NULL,40,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~Cu2VN,,
Обучение персонала III группы по электробезопасности,Каталог курсов (СДО),,,,,,,,,,,,,2995,Курс разраNULL 370,NULL,40,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~BRFcW,,
Обучение персонала IV группы по электробезопасности,Каталог курсов (СДО),,,,,,,,,,,,,3007,Курс разраNULL 370,NULL,40,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~9lYDI,,
Обучение персонала V группы по электробезопасности,Каталог курсов (СДО),,,,,,,,,,,,,3020,Курс разраNULL 370,NULL,40,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~FzJZ1,,
Обучение по вопросам оказания первой помощи пострадавшим,Каталог курсов (СДО),,,,,,,,,,,,,6042,NULL Обучение 210,Передача,16,Охрана,труда/Курсы по новому п РОЛ,1 ИД34,Оказание,,16 https://portal.smarta.life/~RSaKo,,
Обучение по использованию (применению) СИЗ,Каталог курсов (СДО),,,,,,,,,,,,,7940,NULL Обучение 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,2 ИД39,Использов,,16 https://portal.smarta.life/~5juzm,,
Обучение по использованию (применению) средств индивидуальной защиты (ЧАК),Каталог курсов (СДО),,,,,,,,,,,,,6880,NULL Обучение 370,Передача,16,Охрана,труда/Курсы по новому п РОЛ,2 ИД39,Использов,,16,,0
Обучение по общим вопросам охраны труда и функционирования системы управления охраной труда,Каталог курсов (СДО),,,,,,,,,,,,,6849,NULL Обучение 410,Передача,16,Охрана,труда/Курсы по новому п РОЛ,"1, 3 ИД34,",ИД4 Оказание,"8,",16 https://portal.smarta.life/~zHfhU,,
"Обучение по специальной оценке условий труда для лиц, претендующих на получение сертификата эксперта",Каталог курсов (СДО),,,,,,,,,,,,,4160,NULL NULL 1390,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~h401I,,
Обучение работников 1-й группы безопасным методам и приемам выполнения работ в ограниченных и замкнут,Каталог курсов (СДО),,,,,,,,,,,,,3188,Учебный к Работа в о 230,Передача,24,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 11 ИД34,",ИД3 Оказание,"16,","16, 24 https://portal.smarta.life/~TfReS",,
Обучение работников 1-й группы по безопасности работ на высоте,Каталог курсов (СДО),,,,,,,,,,,,,1214,Учебный Работы на 320,Передача,40,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 9 ИД34,",ИД3 Оказание,"16,","16, 40 https://portal.smarta.life/~SZGNb",,
Обучение работников 2-й группы безопасным методам и приемам выполнения работ в ограниченных и замкнут,Каталог курсов (СДО),,,,,,,,,,,,,3181,Учебный к Работа в о 320,Передача,24,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 11 ИД34,",ИД3 Оказание,"16,","16, 24 https://portal.smarta.life/~6tyS6",,
Обучение работников 2-й группы по безопасности работ на высоте,Каталог курсов (СДО),,,,,,,,,,,,,1219,Учебный к Работы на 320,Передача,40,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 9 ИД34,",ИД3 Оказание,"16,","16, 40 https://portal.smarta.life/~E2B5L",,
Обучение работников 3-й группы безопасным методам и приемам выполнения работ в ограниченных и замкнут,Каталог курсов (СДО),,,,,,,,,,,,,3046,Учебный к Работа в о 320,Передача,24,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 11 ИД34,",ИД3 Оказание,"16,","16, 24 https://portal.smarta.life/~VIRk5",,
Обучение работников 3-й группы по безопасности работ на высоте,Каталог курсов (СДО),,,,,,,,,,,,,1224,Учебный к Работы на 320,Передача,40,Охрана,труда/Курсы по новому п РОЛ,"1, 2, 9 ИД34,",ИД3 Оказание,"16,","16, 40 https://portal.smarta.life/~kCsV3",,
"Обучение работников структурных подразделений, уполномоченных на решение задач в области гражданской",Каталог курсов (СДО),,,,,,,,,,,,,4806,оNULL NULL 410,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~6Tr7o,,
Обучение членов комиссий по проведению специальной оценки условий труда,Каталог курсов (СДО),,,,,,,,,,,,,4188,NULL NULL 870,NULL,24,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~dukKy,,
Обучение электротехнического персонала по электробезопасности,Каталог курсов (СДО),,,,,,,,,,,,,3033,NULL NULL 340,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~IjJC4,,
Общие требования промышленной безопасности (А.1),Каталог курсов (СДО),,,,,,,,,,,,,4189,NULL NULL 290,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~mgfpD,,
Оператор по диспетчерскому обслуживанию лифтов,Каталог курсов (СДО),,,,,,,,,,,,,8094,NULL NULL 640,NULL,40,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,,,0
Оператор станков с числовым программным управлением,Оба файла,разработка,,ПП,144,проф. переподготовка,Саблина Наталья,Винник Е.,,разработан,,март,11754,11754,Целью обуОператор 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~wajaH,,
Организация перевозок автомобильным транспортом,Каталог курсов (СДО),,,,,,,,,,,,,3907,NULL NULL 3420,NULL,256,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~6Jjah,,
Организация погрузочно-разгрузочной деятельности с опасными грузами на железнодорожном и автомобильноЦелью,Каталог курсов (СДО),,,,,,,,,,,,,11312,обуNULL 290,NULL,16,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~JPA2z,,
Основы мобилизационной работы в организации 72 повышение квалификации АНО ДПО УМЦ «Здоровый труд» Борисова Надежда,План разработки 2026,разработка,,,,,,,,запрос на разработку,,март,,,,,,,,,,,,,
Осуществление погрузочно-разгрузочной деятельности с опасными грузами на железнодорожном и автомобил,Каталог курсов (СДО),,,,,,,,,,,,,11311,Целью обуNULL 290,NULL,16,Повышение,квалификации Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~kpkqF,,
Ответственный за обеспечение безопасности дорожного движения,Оба файла,актуализация,,БДД,,,"УЦ ""Фелица""",Караченцева М.,,в разработке,,март; май,3636,3636,NULL NULL 3420,NULL,256,Профессиональная,переподготов ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~91tY8,,
Оценка и управление профессиональными рисками для руководителей и специалистов,Каталог курсов (СДО),,,,,,,,,,,,,7171,NULL Оценка ри 850,Хит,прода 56,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~cU6Aw,,
Первичный противопожарный инструктаж,Каталог курсов (СДО),,,,,,,,,,,,,9603,NULL NULL 230,NULL,-,Инструктажи,Нет,NULL NULL,NULL,NULL,,,0
"Персонал, обслуживающий газоиспользующие установки",Каталог курсов (СДО),,,,,,,,,,,,,11177,Целями прNULL 440,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~PBYzP,,
"Персонал, обслуживающий трубопроводы пара и горячей воды",Каталог курсов (СДО),,,,,,,,,,,,,10055,NULL NULL 170,NULL,72,Повышение,квалификации Нет,NULL NULL,NULL,NULL,,,0
Повторный противопожарный инструктаж,Каталог курсов (СДО),,,,,,,,,,,,,9602,NULL NULL 230,NULL,-,Инструктажи,Нет,NULL NULL,NULL,NULL,,,0
"Повышение квалификации для лиц, ответственных за безопасную эксплуатацию лифтов, не относящихся к опасн",Каталог курсов (СДО),,,,,,,,,,,,,3121,Учебный к NULL 520,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~UmhUZ,,
"погрузчика""",Каталог курсов (СДО),,,,,,,,,,,,,9390,NULL Водитель 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~GS4CQ,,
"Подготовка лиц, ответственных за безопасное выполнение погрузочно-разгрузочных работ",Каталог курсов (СДО),,,,,,,,,,,,,3164,Подготовк Безопасно 290,NULL,48,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~uRAdM,,
"Подготовка преподавателей, обучающих приемам оказания первой помощи",Каталог курсов (СДО),,,,,,,,,,,,,6024,NULL Подготовк 370,NULL,24,Охрана,труда/Курсы по новому п ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~876PP,,
Подготовка руководителей работ по локализации и ликвидации аварий на опасных производственных объектах,Каталог курсов (СДО),,,,,,,,,,,,,11114,Курс пред Подготовк 290,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~ImoBe,,
Порядок расследования и учета несчастных случаев на производстве,Каталог курсов (СДО),,,,,,,,,,,,,4002,NULL NULL 230,NULL,16,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~UFT5y,,
"Предаттестационная подготовка для лиц, претендующих на получение сертификата эксперта на проведение спе",Каталог курсов (СДО),,,,,,,,,,,,,4816,Предаттес NULL 230,NULL,-,Предаттестационная,подготовка Нет,NULL NULL,NULL,NULL,,,0
Прессовщик отходов 2-го разряда,Каталог курсов (СДО),,,,,,,,,,,,,11199,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~90jSg,,
"Программа повышения квалификации ""Ежегодные занятия с водителями автотранспортных организаций по без",Каталог курсов (СДО),,,,,,,,,,,,,9644,NULL Ежегодны 410,Новинка,20,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~kiqCs,,
"Программа повышения квалификации ""Персонал, обслуживающий газовое оборудование промышленных пече",Каталог курсов (СДО),,,,,,,,,,,,,10630,"NULL Персонал, 580",NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~9A58O,,
"Программа повышения квалификации ""Складское оборудование. Стеллажи сборно-разборные""",Каталог курсов (СДО),,,,,,,,,,,,,10628,NULL Складское 410,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~6CD9q,,
Программа повышения квалификации электротехнического персонала по электробезопасности,Каталог курсов (СДО),,,,,,,,,,,,,10067,NULL NULL 340,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~4Lv19,,
"Программа повышения квалификации: ""Машинист подъемника (вышки)""",Каталог курсов (СДО),,,,,,,,,,,,,3050,Курс вклю NULL 640,NULL,72,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~MZ164,,
"Программа повышения квалификации: ""Организация производства видов строительных работ""",Каталог курсов (СДО),,,,,,,,,,,,,10465,Целью обуОрганизац 640,NULL,72,Повышение,квалификации ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~GW2Ja,,
"Программа повышения квалификации: ""Подготовка персонала, обслуживающего сосуды, работающие под давл",Каталог курсов (СДО),,,,,,,,,,,,,3061,Учебный к NULL 440,NULL,40,Профессиональное,обучение Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~Wshc0,,
"Программа повышения квалификации: ""Рабочий люльки, находящийся на подъёмнике (вышке)""",Каталог курсов (СДО),,,,,,,,,,,,,3056,Учебный к NULL 460,NULL,36,Профессиональное,обучение Нет,NULL NULL,NULL,NULL,https://portal.smarta.life/~nZgUl,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Аккумуляторщик""",Каталог курсов (СДО),,,,,,,,,,,,,1707,Курс разраNULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,,,0
"Программа подготовки (переподготовки) рабочих по профессии: ""Арматурщик""",Каталог курсов (СДО),,,,,,,,,,,,,8528,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~cGd5J,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Водитель (машинист) катка""",Каталог курсов (СДО),,,,,,,,,,,,,9423,NULL Водитель 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~M2PFm,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Водитель (машинист) экскаватора""",Каталог курсов (СДО),,,,,,,,,,,,,9415,NULL Водитель 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~gewez,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Лифтёр""",Каталог курсов (СДО),,,,,,,,,,,,,3069,Курс напр NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~shnbf,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Маляр строительный""",Каталог курсов (СДО),,,,,,,,,,,,,8761,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~IofWx,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Машинист компрессорных установок""",Каталог курсов (СДО),,,,,,,,,,,,,6827,NULL NULL 580,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,,,0
"Программа подготовки (переподготовки) рабочих по профессии: ""Машинист крана автомобильного""",Каталог курсов (СДО),,,,,,,,,,,,,8863,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~S3syS,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Монтажник бетонных и металлических констр",Каталог курсов (СДО),,,,,,,,,,,,,8615,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~PE3Tg,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Оператор заправочных станций""",Каталог курсов (СДО),,,,,,,,,,,,,6811,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,,,0
"Программа подготовки (переподготовки) рабочих по профессии: ""Оператор котельной""",Каталог курсов (СДО),,,,,,,,,,,,,6277,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~xspAS,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Станочник деревообрабатывающих станков",Каталог курсов (СДО),,,,,,,,,,,,,1753,2 NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~Gq6bd,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Стерилизаторщик материалов и препаратов""",Каталог курсов (СДО),,,,,,,,,,,,,6637,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~pYm5m,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Стропальщик""",Каталог курсов (СДО),,,,,,,,,,,,,2928,Целью реаNULL 580,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~M7JoQ,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Электромеханик по лифтам""",Каталог курсов (СДО),,,,,,,,,,,,,5281,NULL NULL 640,NULL,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~iRPFW,,
"Программа подготовки (переподготовки) рабочих по профессии: ""Электромонтажник по силовым сетям и элект",Каталог курсов (СДО),,,,,,,,,,,,,9490,NULL Электромо 640,Новинка,144,Профессиональное,обучение ФРДО,NULL NULL,NULL,NULL,https://portal.smarta.life/~tBtwI,,
