Наименование программы,Источник,[План 2026] Тип работы,[План 2026] Компания,[План 2026] Направление,[План 2026] Часов,[План 2026] Вид обучения,[План 2026] Заказчик,[План 2026] Контактное лицо,[План 2026] Примечание,[План 2026] Статус,[План 2026] Автор курса,[План 2026] Даты,[План 2026] ID курса,[Каталог] ID,[Каталог] Описание,[Каталог] Цена,[Каталог] Бейдж,[Каталог] Часы,[Каталог] Тип обучения,[Каталог] ФРДО/РОЛ,[Каталог] ProgramId,[Каталог] Код ЕИСОТ,[Каталог] Программа ЕИС,[Каталог] Часы ЕИС,[Каталог] Ссылка/год
Тестирование Б.4.3. Разработка месторождений полезных ископаемых открытым способом,Каталог курсов (СДО),,,,,,,,,,,,,10976,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.4.4. Разработка месторождений полезных ископаемых подземным способом,Каталог курсов (СДО),,,,,,,,,,,,,10977,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.5.1. Разработка угольных месторождений открытым способом,Каталог курсов (СДО),,,,,,,,,,,,,10978,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.5.2. Обогащение и брикетирование углей (сланцев),Каталог курсов (СДО),,,,,,,,,,,,,10979,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.5.3. Разработка угольных месторождений подземным способом,Каталог курсов (СДО),,,,,,,,,,,,,10980,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.6.1. Маркшейдерское обеспечение безопасного ведения горных работ при осуществлении рабо,Каталог курсов (СДО),,,,,,,,,,,,,10981,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.6.2. Маркшейдерское обеспечение безопасного ведения горных работ при осуществлении поль,Каталог курсов (СДО),,,,,,,,,,,,,10982,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.6.3. Маркшейдерское обеспечение безопасного ведения горных работ при осуществлении разр,Каталог курсов (СДО),,,,,,,,,,,,,10983,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.6.4. Маркшейдерское обеспечение безопасного ведения горных работ при осуществлении разр,Каталог курсов (СДО),,,,,,,,,,,,,10984,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.6.5. Маркшейдерское обеспечение безопасного ведения горных работ при осуществлении разр,Каталог курсов (СДО),,,,,,,,,,,,,10985,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.7.1. Эксплуатация (включая техническое обслуживание, техническое диагностирование, текущийКурс",Каталог курсов (СДО),,,,,,,,,,,,,10986,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.7.2. Эксплуатация сетей газораспределения и газопотребления тепловых электрических станций,Каталог курсов (СДО),,,,,,,,,,,,,10987,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.7.3. Эксплуатация сетей газораспределения и газопотребления газотурбинных и парогазовых устКурс,Каталог курсов (СДО),,,,,,,,,,,,,10988,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.7.4. Эксплуатация объектов, использующих сжиженные углеводородные газы",Каталог курсов (СДО),,,,,,,,,,,,,10989,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.7.5. Проектирование, строительство, реконструкция, техническое перевооружение и капитальныКурс",Каталог курсов (СДО),,,,,,,,,,,,,10990,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
Тестирование Б.7.6. Эксплуатация автогазозаправочных станций газомоторного топлива,Каталог курсов (СДО),,,,,,,,,,,,,10991,Курс пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
"Тестирование Б.8.1. Эксплуатация опасных производственных объектов, на которых используются котлы (паровыКурс",Каталог курсов (СДО),,,,,,,,,,,,,10992,пред NULL 350,Адаптивно-,,Подготовка,к тестированию в РТН Нет,NULL NULL,NULL,NULL,,,0
